time,IP,SXR,FIR,PD,DML,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0.0084,1045.51672270071,NaN,6.83719935179984e+17,2.70019646963786,-1.13536721294314e-05,NaN,0,0,0,0
0.0085,1197.8746196097,NaN,6.96232350978526e+17,2.70507868901374,-1.50749408809335e-05,NaN,0,0,0,0
0.0086,1377.45465570177,NaN,7.2757557959639e+17,2.71484392830112,-5.96050007815099e-06,NaN,0,0,0,0
0.0087,1471.96901604449,NaN,7.41558672154416e+17,2.74658195665464,6.64999153561672e-06,NaN,0,0,0,0
0.0088,1621.10975729151,NaN,7.70206638894634e+17,2.76367175861266,1.55112652310803e-05,NaN,0,0,0,0
0.0089,1744.60749295315,NaN,7.80474128010272e+17,2.76611227740922,1.66397192787427e-05,NaN,0,0,0,0
0.009,1873.50894840534,NaN,8.04326231856837e+17,2.7734375,1.35078174395829e-05,NaN,0,0,0,0
0.0091,1983.27037527889,NaN,8.4813901636654e+17,2.79052495417249,7.51951385157923e-06,NaN,0,0,0,0
0.0092,2146.15807205704,NaN,8.59899751906543e+17,2.81249911254656,1.42458846641237e-06,NaN,0,0,0,0
0.0093,2323.22275302025,NaN,9.09093764985349e+17,2.81005918296089,1.17626041224113e-07,NaN,0,0,0,0
0.0094,2443.16138711077,NaN,9.4970677828532e+17,2.82226432291667,1.05997940592717e-05,NaN,0,0,0,0
0.0095,2632.34028909509,NaN,9.90537359397542e+17,2.80517616314595,1.62382168566011e-05,NaN,0,0,0,0
0.0096,2751.06138888139,NaN,1.03194338854176e+18,2.8271484375,1.48634977504788e-05,NaN,0,0,0,0
0.0097,2842.13761928606,NaN,1.08327549307418e+18,2.86132882332402,9.69530387042086e-06,NaN,0,0,0,0
0.0098,2961.48902374525,NaN,1.1384125585114e+18,2.8759765625,3.9233166714592e-06,NaN,0,0,0,0
0.0099,3132.03336190638,NaN,1.18773471823758e+18,2.88330081398394,-2.3309811789642e-06,NaN,0,0,0,0
0.01,3309.81819508204,NaN,1.26867381528897e+18,2.8759765625,-8.94064783340744e-06,NaN,0,0,0,0
0.0101,3480.36035606098,NaN,1.30585865371701e+18,2.89794832178621,-4.84909212782034e-06,NaN,0,0,0,0
0.0102,3653.09575481786,NaN,1.36312385188803e+18,2.9003930036662,2.02719225281786e-06,NaN,0,0,0,0
0.0103,3797.0966217912,NaN,1.43714694716688e+18,2.9052734375,9.57040395711002e-06,NaN,0,0,0,0
0.0104,3946.20357452081,NaN,1.51136949647053e+18,2.91503789135242,7.53658023367448e-06,NaN,0,0,0,0
0.0105,4013.45162854077,NaN,1.57872154003719e+18,2.9248046875,-7.06665075992063e-07,NaN,0,0,0,0
0.0106,4114.07540509163,NaN,1.6561108266427e+18,2.94921912843503,-9.33788583724468e-06,NaN,0,0,0,0
0.0107,4276.58546012739,NaN,1.71795154478718e+18,2.97607339456218,-1.66111466870665e-05,NaN,0,0,0,0
0.0108,4467.4669171428,NaN,1.79370717948444e+18,2.998046875,-1.84597151704381e-05,NaN,0,0,0,0
0.0109,4659.49909858276,NaN,1.89179381512031e+18,3.00292941822892,-8.8879428348562e-06,NaN,0,0,0,0
0.011,4873.12092079485,NaN,1.98494614932459e+18,3.02734393185522,-1.50743273265862e-06,NaN,0,0,0,0
0.0111,5070.58911346211,NaN,2.06280595186095e+18,3.08349509718343,3.57500315443081e-07,NaN,0,0,0,0
0.0112,5247.09599517469,NaN,2.15346030018617e+18,3.11523559342993,-2.26793776227362e-06,NaN,0,0,0,0
0.0113,5447.48926733556,NaN,2.24655135027395e+18,3.16650153849511,-4.68200466334074e-06,NaN,0,0,0,0
0.0114,5662.9438344169,NaN,2.35853575131061e+18,3.1982421875,-9.01509227214808e-06,NaN,0,0,0,0
0.0115,5918.61265256257,NaN,2.45692138077253e+18,3.25195196112663,-1.2604300480852e-05,NaN,0,0,0,0
0.0116,6184.28753378837,NaN,2.56390826924349e+18,3.31054884994763,-7.84106703784328e-06,NaN,0,0,0,0
0.0117,6452.84401974821,NaN,2.68286027765749e+18,3.34716684488478,5.70572897291066e-06,NaN,0,0,0,0
0.0118,6729.86286455474,NaN,2.75645557319944e+18,3.39355750261872,1.62261820587793e-05,NaN,0,0,0,0
0.0119,7000.29155703498,NaN,2.91699892533202e+18,3.46191339327281,2.08980506037966e-05,NaN,0,0,0,0
